file,month,year,size
0826209667.txt,Mar,1996,2.925
0835015638.txt,Jun,1996,1.532
0835819980.txt,Jun,1996,2.264
0837094033.txt,Jul,1996,3.045
0837197800.txt,Jul,1996,3.854
0839635440.txt,Aug,1996,3.39
0839858862.txt,Aug,1996,5.396
0841293339.txt,Aug,1996,2.44
0841418825.txt,Aug,1996,2.921
0842992948.txt,Sep,1996,3.763
0842996314.txt,Sep,1996,1.204
0843161829.txt,Sep,1996,1.497
0844968241.txt,Oct,1996,32.952
0845217169.txt,Oct,1996,18.488
0846715553.txt,Oct,1996,0.93
0846781264.txt,Oct,1996,0.82
0847838200.txt,Nov,1996,1.866
0848679780.txt,Nov,1996,2.365
0848695896.txt,Nov,1996,9.021
0850159177.txt,Dec,1996,5.799
0850162662.txt,Dec,1996,0.572
0850320678.txt,Dec,1996,4.423
0853426848.txt,Jan,1997,6.955
0854306192.txt,Jan,1997,2.214
0857600338.txt,Mar,1997,17.088
0857677215.txt,Mar,1997,23.698
0860182002.txt,Apr,1997,6.163
0862839883.txt,May,1997,3.244
0865941506.txt,Jun,1997,0.871
0866572566.txt,Jun,1997,0.988
0870465098.txt,Aug,1997,1.677
0872202064.txt,Aug,1997,2.662
0876171248.txt,Oct,1997,2.816
0876250531.txt,Oct,1997,11.661
0876437553.txt,Oct,1997,2.274
0876860264.txt,Oct,1997,4.271
0878654527.txt,Nov,1997,6.404
0879365369.txt,Nov,1997,1.517
0879803996.txt,Nov,1997,2.918
0880476729.txt,Nov,1997,21.378
0881356379.txt,Dec,1997,5.122
0884731847.txt,Jan,1998,4.591
0884787012.txt,Jan,1998,5.088
0884964368.txt,Jan,1998,1.817
0885208555.txt,Jan,1998,22.239
0885318160.txt,Jan,1998,3.62
0887057295.txt,Feb,1998,14.333
0887665729.txt,Feb,1998,4.899
0888364876.txt,Feb,1998,2.948
0888609364.txt,Feb,1998,1.515
0888611422.txt,Feb,1998,3.47
0889047457.txt,Mar,1998,2.686
0889211121.txt,Mar,1998,0.984
0889554019.txt,Mar,1998,53.189
0889721031.txt,Mar,1998,2.507
0893188400.txt,Apr,1998,3.162
0894639050.txt,May,1998,2.195
0897669409.txt,Jun,1998,9.994
0898099393.txt,Jun,1998,1.61
0900972000.txt,Jul,1998,11.119
0901894140.txt,Jul,1998,3.641
0904080701.txt,Aug,1998,3.019
0904762907.txt,Sep,1998,5.347
0905351939.txt,Sep,1998,1.016
0905951700.txt,Sep,1998,6.002
0906042912.txt,Sep,1998,8.072
0906136579.txt,Sep,1998,3.043
0906137836.txt,Sep,1998,2.694
0907258644.txt,Oct,1998,2.6
0907266508.txt,Oct,1998,1.201
0907293443.txt,Oct,1998,6.253
0907339897.txt,Oct,1998,2.854
0907525054.txt,Oct,1998,6.83
0907686380.txt,Oct,1998,1.441
0907695513.txt,Oct,1998,11.602
0907975032.txt,Oct,1998,4.311
0908297214.txt,Oct,1998,7.359
0908385907.txt,Oct,1998,3.887
0908490150.txt,Oct,1998,5.508
0908633388.txt,Oct,1998,101.52
0911405082.txt,Nov,1998,1.067
0912095517.txt,Nov,1998,3.289
0912633188.txt,Dec,1998,2.353
0913679881.txt,Dec,1998,4.143
0914013281.txt,Dec,1998,9.406
0914022359.txt,Dec,1998,1.434
0914256033.txt,Dec,1998,1.408
0917644194.txt,Jan,1999,19.599
0918004907.txt,Feb,1999,2.528
0918146589.txt,Feb,1999,7.978
0919310505.txt,Feb,1999,4.042
0919450520.txt,Feb,1999,7.598
0919980501.txt,Feb,1999,2.226
0922988761.txt,Apr,1998,8.559
0923937760.txt,Apr,1999,4.435
0924030302.txt,Apr,1999,8.722
0924035588.txt,Apr,1999,15.797
0924120405.txt,Apr,1999,7.688
0924532891.txt,Apr,1999,1.838
0924613924.txt,Apr,1999,1.434
0925158373.txt,Apr,1999,1.26
0925225547.txt,Apr,1999,1.388
0925507395.txt,Apr,1999,11.228
0925823304.txt,May,1999,5.078
0925829267.txt,May,1999,1.921
0926010576.txt,May,1999,4.147
0926012905.txt,May,1999,1.889
0926026654.txt,May,1999,4.243
0926031061.txt,May,1999,1.145
0926087421.txt,May,1999,3.18
0926681134.txt,May,1999,2.493
0926947295.txt,May,1999,7.108
0927042520.txt,May,1999,2.599
0927145311.txt,May,1999,9.334
0927817076.txt,May,1999,2.614
0929044085.txt,Jun,1999,2.758
0929392417.txt,Jun,1999,1.438
0929565152.txt,Jun,1999,1.291
0929719270.txt,Jun,1999,2.945
0929985154.txt,Jun,1999,5.435
0930776203.txt,Jun,1999,0.93
0930934311.txt,Jul,1999,2.33
0931964410.txt,Jul,1999,3.738
0932158667.txt,Jul,1999,2.194
0932773964.txt,Jul,1999,25.156
0933254004.txt,Jul,1999,10.894
0933255789.txt,Jul,1999,1.135
0933716462.txt,Aug,1999,6.616
0934921858.txt,Aug,1999,4.22
0935431006.txt,Aug,1999,0.923
0936652724.txt,Sep,1999,13.088
0936728245.txt,Sep,1999,15.113
0936823492.txt,Sep,1999,1.105
0937153268.txt,Sep,1999,9.929
0937952556.txt,Sep,1999,0.633
0938018124.txt,Sep,1999,15.203
0938019494.txt,Sep,1999,2.773
0938031546.txt,Sep,1999,8.97
0938108054.txt,Sep,1999,8.624
0938108842.txt,Sep,1999,12.038
0938121656.txt,Sep,1999,4.958
0938125745.txt,Sep,1999,9.443
0938712073.txt,Sep,1999,2.74
0939003588.txt,Oct,1999,28.247
0939141116.txt,Oct,1999,15.334
0939154709.txt,Oct,1999,12.654
0939165392.txt,Oct,1999,4.748
0939235897.txt,Oct,1999,3.464
0939437868.txt,Oct,1999,7.356
0939844657.txt,Oct,1999,1.576
0939923089.txt,Oct,1999,2.865
0941483736.txt,Nov,1999,17.522
0942448792.txt,Nov,1999,2.261
0942777075.txt,Nov,1999,1.234
0942953601.txt,Nov,1999,3.66
0947541692.txt,Jan,2000,3.527
0947802707.txt,Jan,2000,3.489
0950712852.txt,Feb,2000,14.286
0951431850.txt,Feb,2000,0.808
0951763817.txt,Feb,2000,2.271
0951977522.txt,Mar,2000,2.99
0952106664.txt,Mar,2000,3.708
0952619617.txt,Mar,2000,2.641
0954268691.txt,Mar,2000,1.198
0955699514.txt,Apr,2000,1.89
0956161482.txt,Apr,2000,10.189
0957536665.txt,May,2000,0.554
0959187643.txt,May,2000,2.131
0962366892.txt,Jun,2000,3.503
0962724639.txt,Jul,2000,4.662
0962818260.txt,Jul,2000,1.605
0963233839.txt,Jul,2000,11.302
0963250650.txt,Jul,2000,4.769
0965139790.txt,Aug,2000,1.01
0965416206.txt,Aug,2000,3.573
0965671134.txt,Aug,2000,1.375
0965750123.txt,Aug,2000,6.106
0966015630.txt,Aug,2000,5.771
0966633586.txt,Aug,2000,3.303
0967041809.txt,Aug,2000,7.343
0967231160.txt,Aug,2000,2.043
0968127296.txt,Sep,2000,3.529
